Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
SG51792,Arizona,2753.159194,No,Basic,Bachelor,4/2/2011,Employed,F,75277,Suburban,Married,70,2,48,3,1,Corporate Auto,Corporate L3,Offer2,Agent,459.743736,Two-Door Car,Medsize
JE98863,Arizona,3910.697956,No,Extended,Bachelor,2/18/11,Employed,F,58713,Suburban,Married,98,8,4,0,1,Special Auto,Special L1,Offer1,Agent,470.4,Four-Door Car,Small
PC27174,Oregon,4031.539471,No,Premium,College,2/23/11,Unemployed,F,0,Suburban,Single,117,2,41,0,1,Personal Auto,Personal L1,Offer2,Web,842.4,Four-Door Car,Medsize
WW52683,California,5067.635525,No,Basic,Bachelor,1/26/11,Employed,F,61067,Rural,Married,64,20,0,1,3,Personal Auto,Personal L3,Offer2,Agent,86.309744,Four-Door Car,Medsize
UR36912,California,2796.802191,No,Basic,Bachelor,1/31/11,Employed,M,77362,Suburban,Married,70,14,25,0,1,Personal Auto,Personal L3,Offer2,Agent,386.599797,Two-Door Car,Medsize
GV91160,Oregon,2886.451602,Yes,Extended,High School or Below,1/20/11,Retired,F,10312,Suburban,Married,78,10,63,0,1,Personal Auto,Personal L3,Offer2,Agent,486.278557,Four-Door Car,Large
XP11075,Arizona,14567.26841,No,Premium,Bachelor,12/1/2011,Unemployed,M,0,Suburban,Single,148,8,18,0,2,Personal Auto,Personal L2,Offer1,Agent,710.4,SUV,Medsize
MF83904,Oregon,5452.625449,No,Basic,Bachelor,12/1/2011,Disabled,F,17723,Suburban,Married,72,3,40,0,3,Personal Auto,Personal L3,Offer1,Agent,345.6,Two-Door Car,Medsize
FH51383,California,5326.677654,No,Basic,High School or Below,7/2/2011,Employed,F,76717,Urban,Married,66,26,10,0,6,Personal Auto,Personal L3,Offer4,Call Center,300.528579,Two-Door Car,Large
GQ57207,California,2359.423599,Yes,Basic,Bachelor,11/1/2011,Disabled,F,19864,Suburban,Divorced,63,22,96,0,1,Personal Auto,Personal L2,Offer1,Web,352.394515,Four-Door Car,Medsize
DP46882,California,2886.451602,Yes,Extended,High School or Below,1/20/11,Retired,F,10312,Suburban,Married,78,10,63,0,1,Corporate Auto,Corporate L2,Offer2,Agent,486.278557,Four-Door Car,Large
HB17438,Washington,10570.7888,No,Extended,Bachelor,2/21/11,Employed,M,92044,Urban,Married,132,7,77,0,3,Personal Auto,Personal L1,Offer4,Web,617.288574,SUV,Medsize
YE67531,Oregon,8382.630118,Yes,Basic,High School or Below,4/2/2011,Retired,M,19683,Suburban,Married,117,17,41,1,9,Personal Auto,Personal L3,Offer1,Web,561.6,Sports Car,Medsize
WP60679,Oregon,8940.579278,No,Basic,Bachelor,6/1/2011,Employed,M,95351,Urban,Married,111,31,74,0,5,Personal Auto,Personal L1,Offer1,Web,406.48025,Sports Car,Medsize
JT69863,Arizona,2410.105206,No,Basic,Bachelor,2/23/11,Medical Leave,M,16258,Suburban,Married,64,13,84,0,1,Personal Auto,Personal L2,Offer3,Branch,307.2,Two-Door Car,Medsize
IG62421,Nevada,3436.134281,Yes,Extended,Doctor,2/18/11,Employed,M,30817,Rural,Divorced,88,25,43,0,1,Personal Auto,Personal L2,Offer2,Branch,91.834668,Four-Door Car,Medsize
OA26316,Arizona,2221.364314,No,Basic,College,2/13/11,Unemployed,F,0,Suburban,Single,62,25,30,0,1,Personal Auto,Personal L2,Offer2,Call Center,699.521401,Four-Door Car,Medsize
IL72707,California,3265.156348,Yes,Extended,Bachelor,1/26/11,Employed,F,25820,Suburban,Divorced,82,10,69,0,1,Personal Auto,Personal L2,Offer1,Agent,393.6,Four-Door Car,Medsize
DC78147,Arizona,13727.79972,Yes,Extended,College,8/1/2011,Unemployed,M,0,Suburban,Single,126,12,4,0,2,Personal Auto,Personal L2,Offer1,Agent,604.8,SUV,Medsize
NU22358,Washington,5181.620895,Yes,Basic,Master,3/2/2011,Employed,F,97131,Suburban,Married,64,5,80,0,6,Special Auto,Special L2,Offer2,Agent,307.2,Four-Door Car,Small
LJ20215,California,3435.649178,No,Extended,High School or Below,1/23/11,Unemployed,F,0,Suburban,Single,95,18,75,0,1,Corporate Auto,Corporate L3,Offer1,Agent,679.052398,Four-Door Car,Medsize
IA91291,Arizona,7985.472561,No,Basic,College,6/1/2011,Employed,F,99069,Rural,Married,66,7,28,0,2,Corporate Auto,Corporate L2,Offer4,Branch,77.442722,Four-Door Car,Medsize
VI14418,California,7614.669735,No,Premium,Bachelor,9/2/2011,Medical Leave,M,16707,Suburban,Divorced,102,9,74,0,8,Special Auto,Special L3,Offer3,Web,1106.913309,Four-Door Car,Medsize
NG15645,California,2858.087414,No,Basic,Master,11/1/2011,Employed,F,27382,Rural,Married,71,33,35,0,1,Personal Auto,Personal L2,Offer2,Web,134.104322,Four-Door Car,Medsize
FP95606,Arizona,4810.97858,No,Extended,College,1/29/11,Employed,F,24711,Rural,Married,122,31,93,0,1,Personal Auto,Personal L3,Offer3,Agent,259.998169,Sports Car,Small
OS54451,California,2627.831472,No,Basic,Bachelor,11/2/2011,Employed,M,31964,Rural,Married,67,30,90,0,1,Personal Auto,Personal L2,Offer2,Web,120.060283,Four-Door Car,Medsize
ZB87718,Arizona,8714.922135,Yes,Basic,College,2/21/11,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Personal Auto,Personal L1,Offer1,Agent,566.4,SUV,Medsize
CO53249,Arizona,8408.317401,No,Basic,College,2/15/11,Employed,M,82800,Suburban,Married,70,12,94,0,2,Corporate Auto,Corporate L3,Offer1,Agent,442.194796,Four-Door Car,Medsize
KD23847,Arizona,4886.544296,No,Basic,High School or Below,1/27/11,Employed,F,76374,Suburban,Divorced,61,21,28,0,7,Personal Auto,Personal L3,Offer2,Call Center,292.8,Four-Door Car,Small
UM14883,California,16373.7273,No,Basic,High School or Below,5/2/2011,Employed,M,64396,Urban,Married,103,2,46,0,2,Special Auto,Special L1,Offer4,Agent,355.409311,SUV,Medsize
MZ43298,California,5200.076742,No,Extended,Bachelor,2/19/11,Employed,F,90167,Urban,Single,131,31,42,0,1,Corporate Auto,Corporate L2,Offer1,Web,523.733793,SUV,Medsize
WL67313,California,10014.05568,No,Extended,College,5/2/2011,Unemployed,F,0,Suburban,Single,98,19,17,1,2,Personal Auto,Personal L3,Offer1,Branch,705.6,Two-Door Car,Small
WQ46946,California,7914.82311,No,Extended,College,9/2/2011,Employed,F,77153,Urban,Married,99,3,27,1,5,Personal Auto,Personal L3,Offer1,Branch,355.641958,Four-Door Car,Medsize
LG45849,California,4698.521352,No,Premium,Doctor,1/19/11,Employed,M,27985,Suburban,Married,117,8,90,0,1,Personal Auto,Personal L2,Offer4,Call Center,561.6,Two-Door Car,Small
WO80705,Arizona,2855.925747,No,Basic,Bachelor,2/14/11,Employed,F,50738,Suburban,Divorced,71,11,48,0,1,Personal Auto,Personal L1,Offer3,Agent,344.470631,Four-Door Car,Large
FM83188,Washington,8522.759016,No,Basic,Doctor,1/18/11,Unemployed,F,0,Suburban,Married,109,19,2,0,3,Corporate Auto,Corporate L3,Offer1,Call Center,723.786607,SUV,Medsize
CQ80529,Oregon,4080.81891,No,Basic,College,2/19/11,Employed,F,57283,Urban,Single,106,9,85,1,1,Personal Auto,Personal L3,Offer3,Web,337.95778,SUV,Medsize
PL56477,Oregon,2927.516316,No,Basic,College,2/23/11,Employed,F,20852,Suburban,Married,73,8,6,0,1,Personal Auto,Personal L3,Offer3,Branch,383.789732,Two-Door Car,Small
OS21957,California,8896.500265,No,Basic,High School or Below,1/21/11,Employed,F,26201,Rural,Married,112,4,48,0,8,Personal Auto,Personal L2,Offer4,Call Center,168.901895,SUV,Small
GJ43254,Washington,31642.10463,No,Extended,College,1/22/11,Employed,M,89057,Rural,Married,98,17,90,0,2,Corporate Auto,Corporate L2,Offer1,Call Center,187.363583,Two-Door Car,Medsize
AH58807,Arizona,51426.24815,No,Basic,College,9/1/2011,Employed,F,84650,Urban,Married,185,13,39,3,2,Personal Auto,Personal L2,Offer1,Agent,660.474274,Luxury Car,Medsize
WT10649,Oregon,6583.205691,No,Extended,Bachelor,9/1/2011,Unemployed,M,0,Suburban,Single,97,22,5,0,3,Personal Auto,Personal L2,Offer1,Branch,465.6,Four-Door Car,Medsize
HG93801,Arizona,5154.764074,No,Extended,High School or Below,2/1/2011,Employed,M,82730,Urban,Married,127,13,31,0,1,Corporate Auto,Corporate L3,Offer2,Branch,442.521087,SUV,Large
XB32430,California,5717.743109,No,Basic,Bachelor,1/23/11,Employed,M,68342,Rural,Married,72,33,39,0,5,Personal Auto,Personal L2,Offer4,Branch,148.738098,Four-Door Car,Medsize
EG54606,California,5218.97082,No,Basic,Bachelor,2/27/11,Employed,M,21371,Suburban,Married,66,13,48,0,8,Personal Auto,Personal L2,Offer2,Branch,590.017366,Four-Door Car,Small
FP53421,California,7613.706014,No,Basic,High School or Below,1/19/11,Retired,M,25944,Suburban,Divorced,70,20,34,0,2,Personal Auto,Personal L3,Offer4,Branch,336.0,Four-Door Car,Medsize
EB34435,Arizona,2996.139865,No,Extended,High School or Below,1/22/11,Unemployed,M,0,Suburban,Single,82,9,21,0,1,Corporate Auto,Corporate L3,Offer2,Call Center,590.4,Four-Door Car,Large
YU72630,Arizona,2592.437797,Yes,Basic,High School or Below,2/1/2011,Employed,M,72421,Suburban,Married,65,8,23,0,1,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Small
AT41276,California,8110.536059,No,Basic,Bachelor,11/2/2011,Employed,M,36554,Suburban,Married,70,6,62,1,2,Personal Auto,Personal L2,Offer4,Call Center,433.38842,Two-Door Car,Small
